label;top_2_pxcount;top2_fruitcount;top2_maxfruit;top2_minfruit;left2_pxcount;left2_fruitcount;left2_maxfruit;left2_minfruit;right2_pxcount;right2_fruitcount;right2_maxfruit;right2_minfruit
16;26856630;15;43485;2469;33005287;11;85408;269;30855215;8;95835;5694
16;30949780;16;42950;2797;41581556;16;97304;0;29725891;9;94228;8136
16;30764178;18;38537;189;34246248;10;144551;2;31059536;10;75691;37
16;29448169;15;49800;11397;33340640;14;86381;0;29221988;16;61832;0
16;30952348;16;35510;6414;37290063;10;101268;695;30138181;12;72370;0
16;32426755;16;48056;7492;32143306;10;73865;502;35827640;15;50465;0
16;32979461;16;49463;409;32084604;9;82855;2920;36777604;15;51454;0
16;31387916;16;40432;11893;33409728;15;81193;0;25681596;12;60212;2896
16;28431167;16;43198;8258;34779664;16;53063;0;25261566;13;44590;0
16;29811958;16;40336;993;35555338;13;75441;2617;29921443;10;52816;387
16;30690767;16;37853;12955;37928993;8;125216;2265;32694830;11;44260;4677
16;33141879;16;48257;313;39015055;10;89937;2092;30622115;11;40493;8679
16;28715807;15;47878;9651;34747253;13;105123;205;28638422;12;72195;4
16;31819739;13;75947;11005;37418747;12;94025;833;32908407;13;93297;61
16;33080777;17;51636;101;40505852;11;73710;0;33774448;11;55643;0
17;31134118;15;48589;8044;36438604;10;131257;1;31567385;12;72947;4125
17;28056995;14;66161;3675;37645447;12;96786;3720;29444316;13;70153;0
17;31020630;16;38399;5032;37078655;13;51546;1248;33083959;9;106964;1884
17;31697136;16;42924;6808;36503975;14;94996;0;31252891;11;93597;0
17;33824837;18;73190;0;33613373;6;166254;50;36717546;13;84984;5654
17;31398512;16;39777;530;35911572;15;56714;3;36275912;12;83549;967
17;32933101;18;40743;1;36619248;10;84132;0;33452231;10;66587;4090
17;29841736;17;44765;9101;38077816;16;64569;26;23536408;13;48266;0
17;34480338;16;53807;7025;37407229;13;91722;0;35468013;15;56007;55
17;29371374;17;45581;116;32123082;13;48947;0;30013718;9;91663;0
17;34669029;16;62069;67;45572182;12;101538;0;32902976;10;101049;0
17;32100038;16;37143;9185;37702844;11;72604;1976;35757351;13;55989;2605
17;31497017;17;51740;28;37941001;10;96799;9306;31292150;11;79274;308
17;31093016;17;38716;7659;37567602;13;78980;0;31948075;15;64051;13
17;29954408;17;41125;5353;33851734;12;83007;10;33477217;10;106660;2699
17;35077348;15;89698;947;36489549;8;237040;603;39101546;14;121218;0
17;30202983;17;44295;9682;33340266;14;54845;0;27866192;9;62201;5724
17;31493762;17;43988;1488;37445461;14;90147;0;28511630;12;139495;27
17;34956477;18;68480;628;35287766;8;127025;30;35762444;12;108626;1884
17;29999529;15;52596;2972;32440495;12;70570;103;37532868;13;55460;0
17;34267587;16;43836;10709;44505688;9;90150;158;31276953;10;162608;0
17;32123701;17;43744;1342;38096090;14;62349;742;30223638;11;87476;861
17;32617436;17;49625;3942;36470817;15;83547;0;32660043;12;76779;1336
17;29623550;16;39368;5283;32828852;9;112114;9;33255324;13;63801;0
17;33802690;16;53278;5280;38394413;19;57072;174;33874416;13;78841;0
17;32753407;17;51393;10;36616430;11;83170;5659;33360583;12;89410;0
17;30526021;17;38771;469;32145288;9;115974;86;33782906;12;75238;0
17;32240248;17;42797;14;37191519;15;65623;90;29128385;13;63218;151
17;34265232;16;68608;253;43530462;12;92230;1330;30847664;11;79979;0
17;35375608;17;49704;37;37183340;11;104672;0;36953063;10;93674;2031
17;33402785;17;41097;11966;37806326;16;137769;0;32261174;10;92577;161
17;34635745;15;110463;6812;35561587;11;98607;49;35092474;11;92290;376
17;33371396;17;46618;7867;37339661;11;83004;422;33256429;11;78930;1042
17;31759581;16;50048;352;37380317;13;83671;150;33603130;10;76918;1956
17;29107641;14;71711;7376;31289353;15;51273;0;29092930;9;72674;0
17;31931484;16;47111;7246;33162143;14;52027;134;33735387;10;62684;159
17;31030143;15;49467;8917;34879193;13;74279;1309;29262091;9;103034;111
17;30301791;13;62285;7753;35991633;12;69572;199;32080604;10;69282;240
17;34159778;15;47241;3498;37410282;14;58595;0;32686294;12;69311;640
17;31730559;17;37090;3055;35092790;11;106779;98;33726281;9;89381;2228
18;31939470;18;38996;8;29903885;11;96285;294;37087355;15;85302;0
18;31953818;18;47071;3605;36833726;15;86322;0;29682788;12;46021;2774
18;33145658;19;45136;82;37190981;11;102886;399;33652455;10;73409;13402
18;33821268;17;62947;0;41467768;16;57553;0;31976243;10;73284;397
18;34631349;20;67329;10;39815847;11;70301;703;28339434;10;74161;0
18;34609969;19;47639;47;37994144;13;75777;0;34194734;12;68666;428
18;31254199;17;55472;6348;36568625;8;157639;0;27201344;11;63887;1
18;31024677;16;63803;9117;33513749;12;46145;1397;28864376;17;56731;0
18;32468716;16;45409;7177;36265633;13;71249;15;34031663;16;74256;0
18;30895415;19;43502;2386;31701487;10;44941;6694;30456396;12;62594;22
18;32287811;17;42275;5020;41671842;12;178230;238;25628520;10;73276;2
18;30629653;17;45105;8216;40907543;13;79625;687;31325833;11;81873;99
18;31410981;15;49324;32;39431670;12;136349;0;32565858;15;122828;0
18;33220845;18;40827;0;41753140;11;96727;114;33921992;10;71211;2513
18;34276703;17;46307;131;38534461;10;115031;0;37812828;15;59265;0
18;33829867;18;44451;4276;38029953;13;61564;2724;33268256;9;69775;12218
18;31710843;16;51679;11143;35924696;15;81067;0;32711109;13;59900;0
18;32867063;16;44700;935;35090955;13;80676;0;34420405;12;80388;5828
18;30889698;18;68856;2858;36391308;11;72011;39;34067459;12;113508;684
18;34691463;17;69607;0;39485432;8;112607;1774;33678085;11;149684;0
18;32676842;18;64779;100;34417627;13;66558;0;36076378;10;57484;2789
