label;top_2_pxcount;top2_fruitcount;top2_maxfruit;top2_minfruit
24;37302196;26;55706;16
24;35155838;25;48304;5
24;34453081;20;98631;9
24;37279710;16;90640;15
24;35231988;18;88925;34
24;38345278;20;57011;33
24;36080171;24;50538;0
24;37977742;13;69506;227
25;37699665;21;56259;50
25;40087810;20;87852;49
25;34357104;16;87774;430
25;39287685;21;44797;220
25;34286141;21;53887;8
25;36371749;29;54922;0
25;38177437;20;44937;384
25;36032249;22;67516;0
25;38031329;23;76199;2
25;39053921;22;55572;14
25;39210779;19;67717;29
25;38985560;21;59042;5
25;38566544;18;55200;0
25;36833315;28;49042;4
25;37721392;20;49585;32
25;35771645;18;68054;4
25;38752108;28;69660;7
25;40002889;24;93964;14
25;39711199;21;40354;246
25;40033887;19;68217;97
25;36410436;19;86092;70
25;39045297;25;55659;0
25;39584655;18;68528;176
25;38634251;23;76835;128
25;38609690;24;59920;7
25;35734836;22;72378;2
25;39328805;29;55578;46
25;38290573;21;65976;267
25;38173109;21;54934;7
25;39660110;20;113578;63
25;34701274;22;51800;5
25;37182657;20;69100;0
25;38320886;21;68421;106
25;34882366;24;82505;0
25;35221016;19;66248;44
25;40388026;22;69424;0
25;36690559;19;56978;32
25;39230458;22;62137;0
25;38359037;22;68717;0
25;38926742;20;54779;12
26;39365167;19;69386;534
26;39155289;23;115797;8
26;38069158;25;51531;0
26;38315498;20;49493;29
26;37124325;22;63501;22
26;40026007;22;46317;57
26;37441549;25;51396;4
26;38538349;24;52241;20
26;35375984;21;68609;10
26;38744418;21;64430;8
26;37852359;26;49936;2
26;38173837;25;98129;0
26;37508921;21;51959;54
26;36751438;24;52944;56
26;39914293;17;84292;137
26;36403156;19;81867;83
26;37406706;18;59919;6
26;37427888;24;71976;0
26;37681863;23;58754;0
26;40659174;24;47504;2
26;40516470;21;78004;30
26;37799752;24;62558;0
26;37552452;25;56734;25
26;40278130;22;43770;314
26;37174741;21;71400;50
26;38309267;19;47568;433
26;40323196;21;83100;11
26;37301228;20;91559;9
26;40933355;26;50454;14
26;39725942;24;52054;4
26;41870304;22;77952;0
26;36627948;17;81873;33
26;39716925;21;67837;116
26;37305646;24;39248;35
26;41726251;28;73888;0
26;37975710;21;56284;14
26;40852772;22;123833;1
26;37108349;19;75052;170
26;35686061;21;78984;2
26;36987431;16;74388;156
27;40069579;26;43658;2
27;36006176;24;98022;65
27;41480996;25;46095;19
27;36986604;25;45520;0
27;37421566;28;46614;11
27;43447302;25;66264;2
27;42462754;25;61758;2
27;37667503;23;60023;46
27;37387207;24;109474;4
27;38130026;25;53494;93
27;38419820;24;44847;10
27;38751090;24;57907;149
